username,password,name,surname,nationality,team_id,contract_start,contract_finish
carol,4e698f9dc4999cc9830f4e65b9d9448028f5b437e410e8b56fc0de7316e95a19,Carol,White,Canada,1,01-01-2023,01-01-2026
david_b,af9ba0c89e67315eb75ce557677b3c487c7353cf6c14256ddd6ddffa7f45a22d,David,Brown,USA,2,15-02-2024,15-02-2026
emma_green,498aec69844dfad2491c4fe4390ea2e183c50814aa23a0cb380a3d9195d8a5e2,Emma,Green,UK,3,01-03-2022,01-03-2025
fatih,7418a0d9cf147777ed80580395aa49281ae3870a729852889ed64395fae61d1c,Fatih,Ceylan,Turkey,4,10-05-2024,10-05-2026
hana,80dad375e030066f94c26a91bd3165df964ad30d6a797d9e4b8ef62c92e7fd85,Hana,Yamada,Japan,5,01-04-2023,01-10-2024
lucaas,b08077c6a83f28bede59a341dc8baeb04f3956ae8efbf9d6cfdf69cb6f521273,Lucas,Müller,Germany,6,01-01-2024,01-01-2025
mia_rose,24bc042d62d33bfd7826c9fe1be8cd4925914094830fd9ad1e94a045158f41b7,Mia,Rossi,Italy,7,01-06-2024,01-06-2025
onur,b5e0b6282a811d4f506476bb67e4d9843e088a2d5bf94d9b4dc7b7b032e64ebb,Onur,Kaya,Turkey,8,15-03-2023,15-09-2025
sofia_lop,19126c301c1566c4c449deac8ef038a859a25c82263a7f197326535961f3bb86,Sofia,López,Spain,9,01-05-2024,01-11-2025
arslan_yusuf,f2066369f80cff0c00512614e3c5ebf20644f8073df94e2f3ff2e71a70deb5c0,Yusuf,Arslan,Turkey,10,01-02-2024,01-08-2026
