username,password,name,surname,nationality,date_of_birth,fide_id,elo_rating,title
alice,b6bc7b58510319a151d168ba3d5aecb3ac0a9708d06dd930f37fbc89b6cdc697,Alice,Smith,USA,10-05-2000,FIDE001,2200,Grandmaster
bob1,8c0136f442490da9fe5285e2ee802859536c56711d59e8a33e236a1906d448da,Bob,Jones,UK,21-07-1998,FIDE002,2100,National Master
clara,1b8b0a6d6cdd77755c32c563e96a2c0b7e2a7ea884062a300ccc9f7c41657d27,Clara,Kim,KOR,15-03-2001,FIDE003,2300,International Master
david,e9a345480f3370c8fb9efa974284bf21c32d25559fecdecbb0a55bdbbdea386c,David,Chen,CAN,02-12-1997,FIDE004,2050,FIDE Master
emma,af71082db3638ce87a415feb2f7eb820419629ec51c7656ac7b9d199ab96efe2,Emma,Rossi,ITA,19-06-1999,FIDE005,2250,International Master
felix,67de4a2fef380ee9c813e9f7c59cb85947ce035add8f75687f5ec93032513ca0,Felix,Novak,GER,04-09-2002,FIDE006,2180,Candidate Master
grace,80739387701cbfdff2578b4c1f1b3e26077f4c71389c6acadc04d4088c291b25,Grace,Ali,TUR,12-08-2000,FIDE007,2320,Grandmaster
henry,62677c18cb369d24406015b396914e063d54ca5958ccff58a9eaf0b6f9c4c4cd,Henry,Patel,IND,25-04-1998,FIDE008,2150,FIDE Master
isabel,09447516ce4919c809e8426d2d3025bd65bf5233d379032433250b543c2294bc,Isabel,Lopez,MEX,17-02-2001,FIDE009,2240,FIDE Master
jack,c3e7cfd6e79d0b8cbb1d46aed89e5d9c6267156b632383faa3a9527a8956d9f9,Jack,Brown,USA,30-11-1997,FIDE010,2000,Candidate Master
kara,113ecbe43d97be3ee9c3aa7800e7b2402b805f6bc981bbd9920bfecfa7b6aa97,Kara,Singh,IND,07-01-2003,FIDE011,2350,National Master
liam,8bcdc9f5a9979806c19b4bcb201052561337870d7f9c4a71c11d9ecc61e6308d,Liam,Müller,GER,23-05-1999,FIDE012,2200,International Master
mia,8207a6f8ddcb01a39e4849c4c32c86aca3887d1c8c542c2f9b21ee854343951f,Mia,Wang,CHN,14-12-2002,FIDE013,2125,Candidate Master
noah,66299c898d72cb88a20e039ac6f161bc224f1b9864ea78e7fc24ff8528eaa5c8,Noah,Evans,CAN,08-08-1996,FIDE014,2400,Grandmaster
olivia,e92f3ea1398f4f44e5a42af9274c7e662ae700e4e47b4f986a4532ff733dd94d,Olivia,Taylor,UK,03-06-2001,FIDE015,2280,International Master
peter,ef27d063c328a014d7917aef3a2ec471c25c1a3597e5d373be531c0d6ccb53fa,Peter,Dubois,FRA,11-10-2000,FIDE016,2140,FIDE Master
quinn,1bf5007f046f83b7273bb829dbebff36b27b3409f9162da671ddb346cebeaf53,Quinn,Ma,CHN,16-09-1998,FIDE017,2210,Candidate Master
rachel,6ca7938344659276454a81cef65e1c515b640eefa35168bc5b392f3b1b981027,Rachel,Silva,BRA,06-07-1999,FIDE018,2290,International Master
sam,5a70e554a5869fd11f95ca5e43c1976be0ac14fd6091974a052ae00877d1fb28,Sam,O’Neill,IRE,29-01-2002,FIDE019,2100,FIDE Master
tina,c45ef2c3966b333f15f8ea4fdd6d2383cf326d65f78cece1c836d255bac742d0,Tina,Zhou,KOR,13-03-2003,FIDE020,2230,FIDE Master
umar,7920b2554affdc015c0c2aebd33359fd6621c52ed3a6908ef8b1d3b077d18a15,Umar,Haddad,UAE,01-11-1997,FIDE021,2165,Candidate Master
vera,f43496ad4eef7956ae631dd9b1bf8a9e19b34be48078e8c0021eb3cd900c6d7a,Vera,Nowak,POL,22-04-2001,FIDE022,2260,International Master
will,d6db9e2bb701d879523e93d39a5aa030535d76eaf1e538ab0bb8c6b1e2ab8f87,Will,Johnson,AUS,18-06-2000,FIDE023,2195,FIDE Master
xena,4590e1b5e7ebbe242c4fc9117d0fd43df804d5c3f228a823fa0fda2c60a64b8f,Xena,Popov,RUS,09-02-1998,FIDE024,2330,Grandmaster
yusuff,ef782af7a24f7e9c207c931a23b2a2d4a7b6ff339c9acca4e3226d80a0c44346,Yusuf,Demir,TUR,26-12-1999,FIDE025,2170,Candidate Master
zoe,82df1ab91c3f3af9c675bfb948c0c4428e953a4cb877a8180793e43082e40c35,Zoe,Tanaka,JPN,05-05-2001,FIDE026,2220,International Master
hakan,c98a50c6908e6942b1779e2cc12c29995c404c6078b51dc33343482230c2a7a0,Hakan,Simsek,TUR,14-10-1997,FIDE027,2110,Candidate Master
julia,7742c3c838fb1e08ddac9a0ee309c6c6364fe10b9e0459fffb388f1a0063da75,Julia,Nilsen,SWE,02-03-2002,FIDE028,2300,Grandmaster
mehmet,e1a0bbe1db58989f1e400de163bcc2f583065aac479a52e57cd769019613b87e,Mehmet,Yıldız,TUR,31-07-1998,FIDE029,2080,FIDE Master
elena,0321e877c5eda1ed4d5f1b67d49802893bfe7dd8267b21969bb19ba1adbf2067,Elena,Kuznetsova,RUS,24-09-2000,FIDE030,2345,Grandmaster
nina,b32df3336ed4b4f55b665d0e7b249bec3773afbdfdd64a77ffaaf97aa2733936,Nina,Martinez,ESP,12-07-2001,FIDE031,2150,FIDE Master
